"","flipAtLeastOneValue","probMutation","sequenceLength","nEvals","useShiftBuffer","useMutationTransducer","repeatProb","discountFactor","truefitness","truefitnessError","patterns"
"1",1,0,3,4,1,0,5,3,275.33,1.95350268166511,512
"2",1,1,4,3,1,0,1,3,266.78,1.98700729233644,512
"3",1,5,3,4,1,0,4,0,237.04,2.34373956563334,512
"4",1,2,3,4,1,0,3,2,268.26,1.93821848848135,512
"5",1,3,4,4,1,0,3,3,278.04,1.72930300667312,512
"6",1,1,3,4,1,0,0,2,269.31,1.96688211454709,512
"7",0,1,4,3,1,1,2,3,250.88,1.90099814292229,512
"8",0,3,3,4,1,1,3,2,253.34,2.18124327442451,512
"9",0,5,4,4,1,1,0,2,254.29,1.9558921599654,512
"10",1,2,4,4,1,0,1,3,281.98,1.60736813556578,512
"11",0,5,2,4,1,0,0,2,227.17,2.2385987229569,512
"12",1,5,4,4,1,1,1,3,272.51,1.6359901088832,512
"13",1,5,3,4,1,1,1,2,256.11,2.03667856962251,512
"14",0,5,4,4,1,0,2,0,200.8,2.51761471206057,512
"15",1,3,3,4,1,0,5,2,266.79,1.95795683034505,512
"16",0,5,3,4,1,0,4,3,269.97,1.79794804477688,512
"17",1,4,4,4,1,0,2,2,260.02,1.96936025093935,512
"18",1,5,3,4,1,0,4,3,269.05,1.90927428171761,512
"19",1,2,2,4,1,1,2,0,215.09,2.55220621534713,512
"20",1,4,4,4,1,0,5,2,257.2,1.87665078845751,512
"21",1,2,3,4,1,0,2,2,266.22,1.91994212875743,512
"22",1,1,3,3,1,0,2,3,261.27,1.99948756061412,512
"23",0,2,3,4,1,0,3,3,274.25,1.64834627871253,512
"24",1,2,3,3,1,0,5,3,261.05,1.93528506500419,512
"25",1,5,4,3,1,0,2,2,246.04,1.91226345338489,512
"26",1,5,3,4,1,0,0,3,274.62,1.72754160586654,512
"27",0,4,3,4,1,0,0,2,266.7,1.75818432515255,512
"28",1,4,4,4,1,0,0,2,260.9,1.71814440662605,512
"29",1,3,3,4,1,0,5,2,267.4,2.00186781468581,512
"30",0,5,3,4,1,0,1,2,258.07,2.18587083633304,512
"31",1,4,3,4,1,0,1,2,264.44,1.95196456334781,512
"32",0,2,3,4,1,0,1,3,277.77,1.87109080701095,512
"33",1,1,4,4,1,1,1,2,262.8,1.94775187684093,512
"34",0,0,4,4,1,0,2,3,277.38,1.61575450680562,512
"35",0,5,4,3,1,0,0,3,258,2.08457538732821,512
"36",1,5,4,3,1,1,4,3,252.07,2.18286508973871,512
"37",0,1,3,4,1,1,0,0,247.85,2.06976185620813,512
"38",1,4,4,4,1,1,3,3,267.07,2.10114230596097,512
"39",0,1,3,4,1,0,3,3,278.13,1.67468706559668,512
"40",1,1,3,4,1,1,4,2,249.58,2.08342084664677,512
"41",0,2,3,4,1,0,3,2,268.08,1.71686112461438,512
"42",1,2,4,4,1,1,3,3,266.96,1.97713801932868,512
"43",0,2,4,4,1,0,2,3,281.85,1.58550090864463,512
"44",1,3,3,4,1,0,0,1,246.73,1.95654070112316,512
"45",0,0,4,4,1,0,4,3,278.6,1.74732118201867,512
"46",1,3,4,3,1,1,5,3,250.79,2.29744236361685,512
"47",1,2,4,4,1,0,4,2,265.22,1.73883625311624,512
"48",1,0,3,4,1,0,2,2,268.18,1.87731701955721,512
"49",1,3,3,4,1,0,5,3,277.44,2.07010076366276,512
"50",0,1,4,4,1,0,3,2,266.83,1.89992317760696,512
"51",0,4,3,4,1,1,0,3,272.36,1.78752806010327,512
"52",0,0,3,4,1,0,2,3,267.5,1.75910330692784,512
"53",0,4,3,4,1,0,2,1,244.46,2.32802079202072,512
"54",1,2,3,4,1,0,3,3,279.87,1.55645641302817,512
"55",1,1,4,4,1,1,3,2,255.8,2.19301001577579,512
"56",1,2,4,4,1,1,4,3,270.28,1.75643578495397,512
"57",1,5,3,4,1,1,2,3,262.36,1.89829907915992,512
"58",0,1,4,4,1,0,0,3,279.12,1.54960275131036,512
"59",1,3,4,4,1,0,1,2,262.55,1.92439810871038,512
"60",1,4,3,3,1,0,2,3,256.88,1.97730967108179,512
"61",1,2,3,4,1,0,4,3,280.28,1.89203967754758,512
"62",1,3,4,4,1,0,4,2,262.7,1.84705607971609,512
"63",1,4,3,4,1,0,0,0,242.73,2.07290626996022,512
"64",1,1,3,4,1,1,5,3,248.65,2.21552716211303,512
"65",0,5,4,4,1,0,4,0,199.84,2.63479897839772,512
"66",1,5,3,4,0,0,0,2,239.91,2.23652395335696,512
"67",1,5,3,4,1,1,4,2,253.63,1.91673412266014,512
"68",1,5,3,4,1,0,0,2,257.53,1.95920283727233,512
"69",1,1,3,4,1,1,1,3,267.32,1.94421597503357,512
"70",1,5,4,3,1,0,1,3,260.81,1.87873237943442,512
"71",0,5,4,4,1,0,3,2,256.06,2.07436591260894,512
"72",1,4,4,4,1,0,1,3,275.61,1.86395338520635,512
"73",1,5,3,4,1,0,4,3,271.85,1.99612629911537,512
"74",0,4,3,4,1,0,0,2,265.49,2.03303500046884,512
"75",1,2,4,4,1,1,2,3,271.24,1.76595869176208,512
"76",0,5,3,4,1,1,0,3,268.87,2.09084850592946,512
"77",1,1,4,3,1,0,2,2,251.75,1.88467369841438,512
"78",0,5,3,4,1,1,0,3,270.08,2.01968494392747,512
"79",1,0,3,4,1,0,3,3,277.35,1.6934439835,512
"80",0,4,4,4,1,0,2,2,258.68,1.75722922393594,512
"81",0,2,3,3,1,0,2,3,260.2,2.14951251226971,512
"82",0,4,3,4,1,0,2,3,275,1.72527263253251,512
"83",0,3,4,4,1,1,0,2,257.63,2.14286012024806,512
"84",0,5,4,3,1,0,4,2,242.67,1.81781615009758,512
"85",0,5,3,4,1,0,0,1,242,2.46809950194783,512
"86",1,3,4,3,1,1,3,3,249.64,1.89994789933883,512
"87",1,0,3,4,1,1,0,3,264.48,1.93977401578721,512
"88",0,1,3,3,1,0,2,0,236.65,2.18379592601155,512
"89",1,0,4,4,1,0,5,2,266.99,1.89056642679948,512
"90",1,4,4,3,1,0,0,2,247.96,1.95855646697853,512
"91",0,1,4,4,1,1,4,2,253.53,1.94460948794509,512
"92",0,0,4,4,1,0,3,3,273.44,1.88783024403758,512
"93",0,4,3,4,1,0,1,2,267.21,1.97761692116266,512
