"","flipAtLeastOneValue","probMutation","sequenceLength","nEvals","useShiftBuffer","useMutationTransducer","repeatProb","discountFactor","truefitness","truefitnessError","patterns"
"1",1,3,3,4,1,0,2,2,247.2,4.07275931292932,482
"2",0,5,1,3,1,1,3,3,168.6,6.24137299334893,493
"3",1,3,3,4,1,1,3,3,238.3,4.04129994718998,486
"4",1,2,3,4,1,1,3,3,224.25,3.89525689984492,485
"5",0,5,1,4,1,1,5,3,181.6,5.7286904905783,483
"6",1,2,3,4,1,0,3,3,279.1,4.35521466024829,492
"7",1,1,4,3,1,0,1,3,215.75,5.64188984761592,481
"8",1,3,2,3,1,1,1,0,184,7.41193915957647,485
"9",1,3,1,4,1,0,0,2,191.75,6.40759212513603,487
"10",1,3,3,4,1,1,2,3,244.4,6.09590026165128,486
"11",1,4,3,4,1,1,4,3,195.45,5.79858195006151,490
"12",0,1,3,4,1,0,5,3,218.4,4.64950478404334,490
"13",1,4,3,4,1,0,4,3,270.65,3.45518298700435,488
"14",1,2,4,3,1,0,5,2,232.2,5.90566186851762,489
"15",1,3,4,4,1,0,2,3,230.1,6.37548759745192,478
"16",1,2,2,4,1,1,0,3,229.15,6.08720616928395,485
"17",0,5,3,4,1,0,1,3,219.6,6.20458234736741,485
"18",1,3,3,4,1,0,4,1,206.6,4.799342060171,499
"19",1,2,3,4,1,1,0,3,229.05,4.69012119695271,490
"20",0,4,3,4,1,0,3,3,235.15,5.108442444672,482
"21",1,5,3,3,1,1,5,3,193.1,6.41663135100786,483
"22",1,4,4,4,1,0,4,3,204.55,5.94911536988571,475
"23",1,2,3,3,1,0,1,3,261.8,3.81934135958708,490
"24",0,2,4,4,1,0,2,3,246.15,6.52496218984811,490
"25",0,1,4,4,1,0,1,2,192.4,4.96588360717404,478
"26",1,3,4,4,1,1,2,3,232.3,5.54934799394439,493
"27",1,0,3,4,1,0,4,3,225.2,6.43452856818097,485
"28",0,4,4,4,1,0,2,3,237.65,5.40383635655459,477
"29",0,1,3,4,1,1,1,3,266.6,4.45291152535407,487
"30",1,1,2,4,1,0,4,2,226.55,5.84874030521912,480
"31",1,1,1,4,0,1,5,0,143,7.98716074973487,487
"32",0,5,3,4,1,1,5,3,272.15,3.28495373675668,495
"33",1,3,3,4,1,0,4,2,230.7,4.32380193324054,489
"34",1,4,3,2,1,0,3,3,219.5,3.82065026154615,490
"35",1,4,3,4,1,1,2,3,222,5.52506251453082,477
"36",0,4,4,4,1,1,1,3,254.6,3.49917283458761,488
"37",1,4,4,4,1,0,1,3,231,3.97889167323872,490
"38",0,2,3,4,1,0,0,2,265.65,4.66751088855044,492
"39",1,4,4,4,1,0,5,2,223.5,4.66932881461002,496
"40",0,1,3,4,1,1,2,3,257.4,5.75435761653266,490
"41",0,2,4,4,1,0,0,2,217.9,4.7233462714478,487
"42",1,5,4,4,1,0,5,3,241.5,4.1074386948047,485
"43",1,3,3,4,1,1,0,2,267.25,4.52296770296951,493
"44",0,5,2,4,1,0,2,3,238,4.60491728024454,486
"45",1,4,3,4,1,1,4,3,241.75,3.82090854447776,497
"46",1,5,3,4,1,0,5,3,260.6,5.67700810750091,482
"47",0,1,3,4,1,1,2,3,243.6,4.30874264233719,490
"48",0,4,4,4,1,0,4,3,279.3,5.40715899720477,490
"49",1,2,2,4,1,0,5,3,224.9,5.32763401619576,484
"50",0,5,3,3,1,0,3,3,208.3,5.78068471631809,488
"51",1,3,2,4,1,1,0,3,203.75,5.80873887934559,488
"52",0,4,3,3,1,1,5,2,168.05,5.37512545753217,483
"53",0,0,3,4,1,0,0,2,240.8,6.4087111767787,490
"54",1,3,4,4,1,0,1,3,266.25,3.708365365523,495
"55",0,2,1,4,1,1,0,3,182.55,5.03643305274047,487
"56",1,4,3,3,1,1,5,2,199.75,5.2595151867829,492
"57",1,1,2,1,1,0,5,3,173.1,7.23729376580996,481
"58",1,2,3,4,1,0,3,3,225.6,5.04318195294662,489
"59",0,5,1,4,1,0,1,3,194.7,7.62133432163328,486
"60",1,5,2,4,1,1,0,1,201.9,5.53690964537552,487
"61",0,5,3,2,1,0,4,3,207.3,6.53979719627611,489
"62",0,2,3,4,1,0,0,3,281.65,2.61903457504159,491
"63",1,2,3,4,1,0,3,2,246.1,3.62948452190348,492
"64",1,2,4,4,1,0,3,3,244.25,5.00256513148373,488
"65",0,4,3,4,1,1,4,2,255.65,4.65509059214241,490
"66",1,3,2,4,1,0,4,3,227.85,6.77272976140734,490
"67",0,2,2,4,1,0,5,2,219.8,5.95403445705425,492
"68",1,2,3,4,1,1,1,3,228.75,5.68649137962297,494
"69",1,1,3,3,1,1,4,0,156.4,6.84735830736742,487
"70",0,5,3,3,1,0,2,3,214.1,4.66052854468134,490
"71",1,2,3,4,1,1,3,2,216.7,3.26230464226558,486
"72",0,2,4,4,1,0,5,3,255.5,5.99275878829916,486
"73",1,5,3,4,1,0,2,3,235.3,5.1687828150807,486
"74",1,3,3,3,1,0,1,2,207,3.77108109586349,486
"75",1,5,3,4,1,0,4,3,258.3,5.20480547186923,480
"76",0,5,2,4,1,0,3,3,231.25,5.1482623537615,491
"77",0,3,2,4,1,1,0,0,200.3,5.80793468137838,480
"78",0,4,3,3,1,1,3,3,214.4,5.67793513245976,490
"79",1,5,4,4,1,1,1,2,224.9,3.9887341350358,488
"80",0,1,2,4,1,0,1,2,191.35,6.3462691070382,481
"81",1,1,2,4,1,1,0,3,210.5,5.1771258028898,493
"82",0,3,3,4,1,1,0,0,181.8,5.53106061971366,490
"83",0,3,2,3,1,1,3,1,184.05,4.50699748344609,479
"84",1,5,3,4,1,0,0,3,269.05,2.80645402786616,495
"85",1,3,3,3,1,0,0,1,209.8,5.97477152172717,488
"86",1,4,3,4,1,1,0,2,247.05,3.56627108808123,487
"87",0,4,3,4,1,1,2,3,223.4,5.86398463414371,480
"88",0,3,3,3,1,0,1,3,187.25,5.12931461513647,478
"89",1,5,2,4,1,0,3,2,222.75,6.9724552045135,489
"90",0,4,2,4,1,0,5,3,207.15,7.08752610688591,488
"91",0,5,2,3,1,0,4,2,189.7,6.47509398428033,490
"92",0,2,3,4,1,0,1,3,243.95,4.44112065041908,487
"93",1,2,3,3,1,0,4,3,236.45,5.39906180933804,488
"94",1,4,3,4,1,0,3,3,264.35,3.5327602150219,482
"95",0,4,3,3,1,0,4,3,238.2,4.45834522051209,498
"96",0,3,3,4,1,0,5,2,231.95,4.67156854081997,483
"97",1,5,3,4,1,1,3,3,232.3,6.38629288727859,482
"98",0,1,3,4,1,1,3,3,211.6,5.74062164247962,480
"99",0,2,2,4,1,0,3,2,205.4,5.29319324574891,483
"100",0,5,1,4,1,0,3,3,181.5,5.5310130413115,488
